13	01	05	04	15	24	22
29	01	12	31	06	13	27
09	23	03	30	06	25	28
05	08	30	18	14	04	19
20	01	06	14	25	11	04
12	22	19	11	30	04	06
19	08	09	24	30	26	14
24	15	22	12	03	30	01
12	06	08	07	11	27	14
26	20	08	27	04	31	12
02	08	25	27	19	13	09
06	28	30	07	16	25	19
23	26	28	31	17	09	16
04	05	12	20	07	31	24
11	28	08	09	07	23	17
02	23	09	26	05	29	14
23	15	05	26	01	28	13
01	02	20	30	15	03	31
24	16	04	27	10	03	25
12	31	08	14	16	10	15
29	08	05	27	24	06	28
11	12	20	24	29	04	28
31	24	17	07	01	11	05
15	01	04	22	11	24	14
28	19	15	17	30	10	12
05	29	26	31	16	30	15
30	29	07	03	02	08	18
07	22	29	20	31	16	28
28	19	12	06	30	31	13
07	08	26	20	10	17	04
06	27	15	26	23	31	08
03	08	29	31	09	28	24
13	30	26	05	20	21	04
03	16	15	20	01	31	17
14	28	04	16	20	05	24
01	27	18	11	13	12	31
16	26	15	29	19	20	30
02	10	06	23	17	14	27
03	02	14	12	23	15	22
24	21	18	30	26	08	04
19	24	25	16	13	18	04
07	18	03	31	06	13	15
31	29	22	30	06	25	02
12	10	25	06	31	23	07
09	12	31	15	29	27	02
14	20	13	05	03	29	10
28	08	09	25	11	23	12
30	02	04	07	16	31	29
07	26	06	12	23	31	28
26	22	06	10	17	21	02
01	20	24	29	05	19	09
16	31	06	18	20	29	25
31	19	18	14	04	17	11
26	09	07	06	20	02	29
22	11	08	06	18	20	10
26	07	01	13	23	02	04
14	26	18	07	20	04	25
24	20	16	04	07	11	01
16	04	21	12	13	02	29
23	22	13	05	07	09	12
28	24	27	17	19	31	20
15	22	31	19	30	23	01
31	18	29	03	17	20	15
01	31	09	20	07	04	25
01	18	22	04	31	24	17
17	27	21	06	26	05	11
20	15	11	02	10	27	03
12	02	13	04	22	08	06
26	23	28	27	15	13	19
01	18	31	17	08	22	27
02	17	09	19	04	30	06
24	21	06	08	19	20	23
21	18	15	13	20	11	22
10	17	08	26	29	31	01
23	17	10	03	08	22	31
05	14	07	24	03	29	21
31	16	27	09	13	23	22
31	22	02	16	27	28	20
17	08	27	10	13	23	25
16	07	20	17	30	28	13
30	23	27	07	20	14	21
20	11	03	23	07	22	24
28	02	21	27	17	12	26
21	17	29	31	07	09	30
12	28	06	14	16	02	05
08	11	13	21	07	02	25
17	10	26	30	23	07	03
16	12	15	27	25	04	22
11	07	24	21	19	09	30
06	18	03	12	05	08	31
29	23	05	10	11	18	12
20	21	27	13	25	28	16
30	27	03	21	06	19	10
19	11	16	30	28	22	09
18	13	28	31	17	12	06
15	11	23	26	20	06	03
17	03	13	29	11	22	05
07	03	10	06	04	02	16
25	20	31	22	23	03	05
31	08	07	17	06	20	01
20	12	14	30	10	17	19
10	21	24	05	08	22	03
11	19	05	25	18	23	16
26	29	08	27	10	11	31
30	10	12	16	15	17	04
29	13	09	04	23	05	31
16	04	17	11	14	05	21
09	10	18	28	31	06	05
23	13	24	27	26	19	30
10	17	04	22	12	20	03
31	17	12	08	04	26	19
17	07	06	14	28	31	18
31	03	20	02	22	26	07
18	30	11	12	23	25	09
09	17	28	31	01	16	08
06	09	17	31	25	22	10
04	13	30	11	17	22	31
25	23	05	04	07	12	18
23	24	19	30	17	09	07
28	05	22	23	29	15	31
10	21	11	18	16	17	31
22	10	29	24	16	11	04
13	29	18	24	27	02	17
13	29	04	07	14	06	02
28	08	29	27	12	30	15
26	27	20	13	28	19	06
27	07	10	26	17	02	09
26	12	08	22	27	11	07
16	19	18	27	30	04	06
21	30	08	24	14	19	17
20	11	16	17	18	31	13
12	31	30	14	02	25	05
06	30	10	16	02	11	09
21	22	14	16	31	26	29
15	03	11	19	27	08	29
14	12	18	07	05	11	13
05	04	21	08	11	25	09
04	11	19	16	21	23	12
04	20	14	12	02	17	11
09	16	03	15	21	20	25
08	14	01	06	21	13	17
23	25	29	15	18	03	30
11	28	03	21	27	06	23
11	01	03	28	19	04	15
13	18	02	24	01	07	21
24	17	01	03	10	23	12
11	06	13	19	23	05	17
